RD_east,RD_north,latitude,longitude,osm_class,osm_type
92350.0,436050.0,51.9094168836,4.4767174392,amenity,parking
92350.0,436150.0,51.9103156178,4.4766992364,place,house
92350.0,436250.0,51.9112143518,4.4766810329,highway,primary
92350.0,436350.0,51.9121130858,4.4766628284,place,house
92350.0,436450.0,51.9130118196,4.4766446232,place,house
92350.0,436550.0,51.9139105533,4.4766264171,amenity,place_of_worship
92350.0,436650.0,51.914809287,4.4766082101,place,house
92350.0,436750.0,51.9157080205,4.4765900023,place,house
92350.0,436850.0,51.916606753800004,4.4765717937,place,house
92350.0,436950.0,51.9175054871,4.4765535842,place,house
92350.0,437050.0,51.9184042203,4.4765353739,shop,optician
92350.0,437150.0,51.9193029533,4.4765171628000004,place,house
92350.0,437250.0,51.9202016863,4.4764989508,place,house
92350.0,437350.0,51.9211004191,4.476480738,shop,clothes
92350.0,437450.0,51.9219991518,4.4764625243,amenity,nightclub
92350.0,437550.0,51.9228978844,4.4764443098,place,house
92350.0,437650.0,51.9237966169,4.4764260945,place,house
92350.0,437750.0,51.9246953493,4.4764078783,place,house
92350.0,437850.0,51.9255940815,4.4763896613,highway,footway
92350.0,437950.0,51.9264928137,4.4763714434,highway,cycleway
92350.0,438050.0,51.9273915457,4.4763532247,leisure,sports_centre
92350.0,438150.0,51.9282902776,4.4763350052,place,house
92350.0,438250.0,51.9291890094,4.4763167848,place,house
92350.0,438350.0,51.9300877411,4.4762985636,place,house
92350.0,438450.0,51.9309864727,4.4762803415,place,house
92350.0,438550.0,51.9318852041,4.4762621186,place,house
92350.0,438650.0,51.9327839355,4.4762438949,place,house
92350.0,438750.0,51.9336826667,4.4762256703,place,house
92350.0,438850.0,51.9345813978,4.4762074449,place,house
92450.0,432850.0,51.8806685712,4.4787516693,leisure,garden
92450.0,432950.0,51.8815673092,4.4787335223,leisure,garden
92450.0,433050.0,51.8824660471,4.4787153746,leisure,garden
92450.0,433150.0,51.8833647849,4.478697226,place,house
92450.0,433250.0,51.8842635225,4.4786790765,leisure,sports_centre
92450.0,433350.0,51.8851622601,4.4786609263,amenity,social_facility
92450.0,433450.0,51.8860609975,4.4786427752,place,house
92450.0,433550.0,51.8869597349,4.4786246232,place,house
92450.0,433650.0,51.8878584721,4.4786064704,place,house
92450.0,433750.0,51.8887572092,4.4785883168,place,house
92450.0,433850.0,51.8896559462,4.4785701624,place,house
92450.0,433950.0,51.8905546831,4.4785520071,place,house
92450.0,434050.0,51.8914534199,4.478533851,place,house
92450.0,434150.0,51.8923521566,4.478515694,leisure,garden
92450.0,434250.0,51.8932508932,4.4784975362,place,house
92450.0,434350.0,51.8941496296,4.4784793776,place,house
92450.0,434450.0,51.895048366,4.4784612181,amenity,taxi
92450.0,434550.0,51.8959471022,4.4784430578,emergency,life_ring
92450.0,434650.0,51.8968458384,4.4784248967,emergency,life_ring
92450.0,434750.0,51.8977445744,4.4784067347,highway,residential
92450.0,434850.0,51.8986433103,4.4783885719,leisure,pitch
92450.0,434950.0,51.8995420461,4.4783704082,highway,footway
92450.0,435050.0,51.9004407818,4.4783522437,highway,footway
92450.0,435150.0,51.9013395173,4.4783340784,highway,residential
92450.0,435250.0,51.9022382528,4.4783159122,highway,footway
92450.0,435350.0,51.9031369882,4.4782977452,highway,footway
92450.0,435450.0,51.9040357234,4.4782795774,man_made,pier
92450.0,435550.0,51.9049344586,4.4782614087,man_made,pier
92450.0,435650.0,51.9058331936,4.4782432392,man_made,pier
92450.0,435750.0,51.9067319285,4.4782250689,place,house
92450.0,435850.0,51.9076306633,4.4782068977,leisure,marina
92450.0,435950.0,51.908529398,4.4781887256,amenity,bench
92450.0,436050.0,51.9094281326,4.4781705528,amenity,parking
92450.0,436150.0,51.910326867,4.4781523791,highway,residential
92450.0,436250.0,51.9112256014,4.4781342045,amenity,atm
92450.0,436350.0,51.9121243356,4.4781160292,place,house
92450.0,436450.0,51.9130230697,4.478097853,place,house
92450.0,436550.0,51.9139218038,4.4780796759,place,house
92450.0,436650.0,51.9148205377,4.478061498,place,house
92450.0,436750.0,51.9157192715,4.4780433193,shop,supermarket
92450.0,436850.0,51.9166180051,4.4780251397,amenity,bar
92450.0,436950.0,51.9175167387,4.4780069593,place,house
92450.0,437050.0,51.9184154722,4.4779887781,place,house
92450.0,437150.0,51.9193142055,4.4779705960000005,shop,clothes
92450.0,437250.0,51.9202129387,4.4779524131,place,house
92450.0,437350.0,51.9211116718,4.4779342293,place,house
92450.0,437450.0,51.9220104049,4.4779160447,tourism,artwork
92450.0,437550.0,51.9229091377,4.4778978593,leisure,fitness_centre
92450.0,437650.0,51.9238078705,4.477879673,shop,sports
92450.0,437750.0,51.9247066032,4.4778614859,highway,construction
92450.0,437850.0,51.9256053357,4.4778432979,highway,service
92450.0,437950.0,51.9265040682,4.4778251092,amenity,school
92450.0,438050.0,51.9274028005,4.4778069195,place,house
92450.0,438150.0,51.9283015327,4.4777887291,highway,residential
92450.0,438250.0,51.9292002648,4.4777705378,place,house
92450.0,438350.0,51.9300989968,4.4777523456,place,house
92450.0,438450.0,51.9309977286,4.4777341526,place,house
92450.0,438550.0,51.9318964604,4.4777159588,place,house
92450.0,438650.0,51.932795192,4.4776977641,place,house
92450.0,438750.0,51.9336939235,4.4776795686,place,house
92450.0,438850.0,51.9345926549,4.4776613723,leisure,playground
92550.0,432850.0,51.8806797929,4.4802038548,highway,secondary
92550.0,432950.0,51.8815785312,4.4801857369,highway,secondary
92550.0,433050.0,51.8824772693,4.4801676182,highway,secondary
92550.0,433150.0,51.8833760074,4.4801494986,highway,footway
92550.0,433250.0,51.8842747454,4.4801313782,leisure,sports_centre
92550.0,433350.0,51.8851734832,4.4801132569,amenity,school
92550.0,433450.0,51.8860722209,4.4800951348,place,house
92550.0,433550.0,51.8869709586,4.4800770119,place,house
92550.0,433650.0,51.8878696961,4.4800588881,place,house
92550.0,433750.0,51.8887684335,4.4800407635,place,house
92550.0,433850.0,51.8896671708,4.4800226381,place,house
92550.0,433950.0,51.890565908,4.4800045118,place,house
92550.0,434050.0,51.8914646451,4.4799863847,highway,residential
92550.0,434150.0,51.892363382,4.4799682568,amenity,pub
92550.0,434250.0,51.8932621189,4.479950128,place,house
92550.0,434350.0,51.8941608557,4.4799319984,highway,secondary
92550.0,434450.0,51.8950595923,4.479913868,highway,cycleway
92550.0,434550.0,51.8959583288,4.4798957367,emergency,life_ring
92550.0,434650.0,51.8968570653,4.4798776046,emergency,life_ring
92550.0,434750.0,51.8977558016,4.4798594716,amenity,bench
